osm-id	version	latitudine	longitudine	road	house-number	suburb	district	city	county	state	post-code	country	cc	continent	amenity	brand	car	cu-code	cu-recharge	cu-state	elapsed-time	enel-name	enel-post-code	name	region	serial-number	usage-level	zona
	2	44.40127	8.94129	Via Alessandro Volta				Genova			16128	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000517	FINISHED	MAINTENANCE	0	AEEG242 12 Volta	16100	ENEL_00000517	Liguria	N.12EP21T2301H000010	0	Genova
4295717990	7	43.119	12.398	Piazza Sant'Erminio				Perugia			6100	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000494	FINISHED	ACTIVE	0	S.Erminio	6122	ENEL_00000494	Umbria	N.11EP21T2301C000002	0	Perugia
		41.895752	12.455734	Via della Stazione di San Pietro				Roma			192	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000499	FINISHED	MAINTENANCE	0	Municipio XVIII 1	165	ENEL_00000499	Lazio	N.11CP21T2B01C000029	0	Rome
4295717991	7	44.40759	8.93237	piazza Matteotti				Genova			16123	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000550	ACTIVE	ACTIVE	56953798	Matteotti	0	ENEL_00000550	Liguria	N.12EP21T2301H000008	0	Genova
4295717992	7	43.080906	12.35507	Piazzale Giorgio Menghini				Perugia			6126	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000412	FINISHED	ACTIVE	0	Dottori	6132	ENEL_00000412	Umbria	N.11EP21T2301C000031	0	Perugia
4295717993	7	43.71098	10.39154	Via Porta a mare				Pisa			56125	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000096	FINISHED	ACTIVE	0	Via Porta a mare 23	0	ENEL_00000096	Tuscany	N.10EP21T2302B000112	0	Pisa
4295717994	7	45.40664	9.150973	Viale Milano Fiori				Assago			20142	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000388	FINISHED	ACTIVE	0	Milanofiori_2	20090	ENEL_00000388	Lombardy	N.11EP21T2301C000021	0	Milan
4295717995	7	45.50773	12.22772	Via Gabriel Bella				Venezia			30171	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000395	FINISHED	ACTIVE	0	Gabriel Bella	30175	ENEL_00000395	Veneto	N.11EP21T2302E000240	0	Venice
4295717996	7	43.71636	10.39446	Piazza Solferino				Pisa			56126	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000206	FINISHED	ACTIVE	0	Piazza Solferino	56126	ENEL_00000206	Tuscany	N.10EP21T2302A000042	0	Pisa
4295717997	7	43.62738	10.290987	Piazza Belvedere				Pisa				Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000290	FINISHED	ACTIVE	0	Belvedere 2	56128	ENEL_00000290	Tuscany	N.11EP21T2302C000182	0	Pisa
4295717998	7	43.71488	10.4208	Via Manara Valgimigli				Pisa			56127	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000378	FINISHED	ACTIVE	0	Valgimigli - Coop 1	56124	ENEL_00000378	Tuscany	N.11EP21T2301C000012	0	Pisa
		44.694416	10.609807	Via Clementi				Reggio nell'Emilia			42123	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000528	FINISHED	MAINTENANCE	0	Clementi	42124	ENEL_00000528	Emilia Romagna	N.12EP21T2301H000029	0	Reggio Emilia
4295717999	7	44.40719	8.93638	Via Ettore Vernazza				Genova			16121	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000506	FINISHED	ACTIVE	0	AEEG242 1 Vernazza	16100	ENEL_00000506	Liguria	N.12EP21T2301H000011	0	Genova
4295718000	7	41.881905	12.494602	Piazza di Porta Metronia				Roma			asfa	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000299	FINISHED	ACTIVE	0	Assessorato all?Ambiente-Comune di Roma 1	183	ENEL_00000299	Lazio	N.11CP21T2B02C000129	0	Rome
		44.4113	8.938662	Piazza Marsala				Genova			16124	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000519	FINISHED	PLANNED	0	Car Sharing 14 Marsala	16122	ENEL_00000519	Liguria		0	Genova
4295718001	7	41.1036	16.91204	Via Arturo Toscanini				Bari			70126	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000582	FINISHED	ACTIVE	0	Bari004	70126	ENEL_00000582	Puglia	N.12EP21T2301H000057	0	Bari
		43.674816	10.401302	Via Nugolaio - Ipercoop				Cascina			56121	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000601	FINISHED	INSTALLED	0	Ipercoop Navacchio	0	ENEL_00000601	Tuscany	N.10EP21T2302A000039	0	Pisa
4295718002	7	44.698116	10.630939	via Vittorio Veneto				Reggio nell'Emilia			42124	Italia	IT	European Union	charging_station	Enel	yes	UNILE_00000003	FINISHED	ACTIVE	0	VitVenetoReggioEmilia	42121	UNILE_00000003	Emilia Romagna	N.11EP21T2302E000226	0	Reggio Emilia
